FileName	Blur	Expos	Orient	Eyes	Mouth	Overall 
--------------------------------------------------------- 
0=Failed    1=Passed    N/A=Cannot detec face/eyes/mouth 
--------------------------------------------------------- 
images\553.jpg	1	1	1	1	1	Passed
images\554.jpg	1	1	1	0	1	Failed
images\555.jpg	1	1	0	1	1	Failed
images\556.jpg	1	1	1	1	1	Passed
images\557.jpg	0	0	0	0	1	Failed
images\558.jpg	1	1	1	1	1	Passed
images\559.jpg	1	1	1	0	1	Failed
images\56.jpg	1	0	0	0	1	Failed
images\560.jpg	1	0	0	1	1	Failed
images\561.jpg	1	0	1	0	1	Failed
images\562.jpg	0	1	1	1	1	Failed
images\563.jpg	1	1	1	1	1	Passed
images\564.jpg	0	1	1	1	1	Failed
images\565.jpg	1	1	1	1	1	Passed
images\566.jpg	1	1	1	1	1	Passed
images\567.jpg	1	1	1	1	1	Passed
images\568.jpg	1	0	0	1	1	Failed
images\569.jpg	1	0	1	0	1	Failed
images\57.jpg	1	0	1	1	1	Failed
images\570.jpg	1	0	0	1	1	Failed
images\571.jpg	1	0	0	1	1	Failed
images\572.jpg	1	0	0	1	1	Failed
images\573.jpg	1	0	1	1	1	Failed
images\574.jpg	1	0	0	0	1	Failed
images\575.jpg	1	1	1	1	1	Passed
images\576.jpg	1	0	1	1	1	Failed
images\577.jpg	0	1	1	1	1	Failed
images\578.jpg	0	1	1	1	1	Failed
images\579.jpg	1	1	0	0	1	Failed
images\58.jpg	1	0	1	1	0	Failed
images\580.jpg	1	0	0	1	1	Failed
images\581.jpg	1	0	0	1	1	Failed
images\582.jpg	0	N/A	1	0	N/A	Failed
images\583.jpg	1	N/A	1	0	N/A	Failed
images\584.jpg	1	N/A	1	0	N/A	Failed
images\585.jpg	0	0	0	0	1	Failed
images\586.jpg	1	1	0	0	1	Failed
images\587.jpg	1	0	0	0	1	Failed
images\588.jpg	1	0	0	1	1	Failed
images\589.jpg	1	1	0	0	1	Failed
images\59.jpg	1	0	1	1	1	Failed
images\590.jpg	1	1	0	0	1	Failed
images\591.jpg	1	0	0	0	1	Failed
images\592.jpg	0	0	0	0	1	Failed
images\593.jpg	1	0	0	1	1	Failed
images\594.jpg	1	0	0	1	1	Failed
images\595.jpg	0	0	0	1	1	Failed
images\596.jpg	1	0	0	1	1	Failed
images\597.jpg	1	1	0	1	1	Failed
images\598.jpg	1	1	0	1	1	Failed
images\599.jpg	1	0	0	0	1	Failed
images\6.jpg	0	0	0	0	1	Failed
images\60.jpg	1	0	1	1	1	Failed
images\600.jpg	1	N/A	1	0	N/A	Failed
images\601.jpg	1	N/A	1	0	N/A	Failed
images\602.jpg	1	N/A	1	0	N/A	Failed
images\603.jpg	1	0	1	0	1	Failed
images\604.jpg	1	1	1	0	1	Failed
images\605.jpg	0	0	1	1	1	Failed
images\606.jpg	0	0	1	0	1	Failed
images\607.jpg	1	1	1	0	1	Failed
images\608.jpg	0	1	0	1	1	Failed
images\609.jpg	1	1	1	1	1	Passed
images\61.jpg	1	0	1	1	1	Failed
images\610.jpg	1	1	0	1	1	Failed
images\611.jpg	1	1	1	0	1	Failed
images\612.jpg	1	1	1	1	1	Passed
images\613.jpg	1	0	1	0	1	Failed
images\614.jpg	1	0	1	1	1	Failed
images\615.jpg	0	0	1	1	1	Failed
images\616.jpg	1	1	1	1	1	Passed
images\617.jpg	1	1	1	1	1	Passed
images\618.jpg	1	1	1	1	1	Passed
images\619.jpg	1	1	0	0	1	Failed
images\62.jpg	1	1	1	1	1	Passed
images\620.jpg	1	1	0	1	1	Failed
images\621.jpg	0	0	1	1	1	Failed
images\622.jpg	1	0	0	1	1	Failed
images\623.jpg	1	1	1	1	1	Passed
images\624.jpg	1	0	1	0	1	Failed
images\625.jpg	1	1	1	1	1	Passed
images\626.jpg	1	0	0	1	1	Failed
images\627.jpg	1	N/A	1	1	N/A	Failed
images\628.jpg	0	N/A	1	0	N/A	Failed
images\629.jpg	1	N/A	1	0	N/A	Failed
images\63.jpg	1	0	1	0	1	Failed
images\630.jpg	0	0	0	0	1	Failed
images\631.jpg	1	1	1	1	1	Passed
images\632.jpg	1	0	1	1	1	Failed
images\633.jpg	1	0	1	1	1	Failed
images\634.jpg	1	1	0	1	1	Failed
images\635.jpg	1	1	0	1	1	Failed
images\636.jpg	1	0	0	1	1	Failed
images\637.jpg	1	0	1	1	1	Failed
images\638.jpg	0	0	1	1	0	Failed
images\639.jpg	0	0	1	1	1	Failed
images\64.jpg	1	1	1	0	1	Failed
images\640.jpg	0	0	1	1	1	Failed
images\641.jpg	0	0	1	1	1	Failed
images\642.jpg	0	0	1	0	1	Failed
images\643.jpg	0	0	1	1	1	Failed
images\644.jpg	1	0	1	1	1	Failed
images\645.jpg	1	1	1	1	1	Passed
images\646.jpg	1	1	1	1	1	Passed
images\647.jpg	1	1	0	1	1	Failed
images\648.jpg	1	1	1	1	1	Passed
images\649.jpg	1	1	1	1	1	Passed
images\65.jpg	1	1	0	1	1	Failed
images\650.jpg	1	0	0	0	1	Failed
images\651.jpg	1	0	1	0	1	Failed
images\652.jpg	1	1	1	1	1	Passed
